College Code,College Name,District,Branch Code,Branch Name,OC,MBC
2648,"Annaporna Engineering College, Sankari Main Road, NH-47, Periaseeragapadi, Salem District 636308",Salem,EC,Electronics and Communication Engineering,110259,
2650,"Christ the King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Coimbatore District 641104",Coimbatore,CS,Computer Science and Engineering,77491,110792
2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",Tiruppur,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District637504",Salem,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2656,"Builders Engineering College,Erode Rode,Nathakadiyur, Kangeyam Taluk, Tiruppur District 638108",Tiruppur,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2657,"Paavai College of Technology, NH-7, Pachal Post, Namakkal District 637018",Namakkal,CS,Computer Science and Engineering,102148,109958
2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty Perumapalayam, Salem District 636111",Salem,EC,Electronics and Communication Engineering,89508,110074
2661,"Vivekanandha College of Technology for Women, Sathinaickenpalayam, Elayampalayam Village, Kumaramangalam, Namakkal District 637205",Namakkal,EC,Electronics and Communication Engineering,110777,
2662,"Dr. Nagarathinams College of Engineering, Anadhagoundam Palayam, Minakkal Post,Rasipuram, Namakkal District 637505",Namakkal,CS,Computer Science and Engineering,999999999999,999999999999
2662,"Dr. Nagarathinams College of Engineering, Anadhagoundam Palayam, Minakkal Post,Rasipuram, Namakkal District 637505",Namakkal,EC,Electronics and Communication Engineering,999999999999,999999999999
2665,"Mahendra Institute of Engineering and Technology, Mahendrapuri, Mallasamudram, Namakkal District 637503",Namakkal,CS,Computer Science and Engineering,108105,109741
2673,"Sree Sakthi Engineering College, Bettathapuram, Bilichi Village, Karamadai, Coimbatore District 641104",Coimbatore,EC,Electronics and Communication Engineering,110402,
2705,"C S I College of Engineering, Ketti, Nilgiris 643215",Nilgiris,EC,Electronics and Communication Engineering,110103,
2706,"Dr. Mahalingam College of Engineering and Technology (Autonomous),Mackinaickenpatti Post, Pollachi Taluk, Coimbatore District 642003",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",Erode,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2715,"Nandha Engineering College (Autonomous), Pitchandampalayam Post, Erode District638052",Erode,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2716,"Park College of Engineering and Technology, Kaniyur, Coimbatore District 641659",Coimbatore,RM,Robotics and Automation,999999999999,999999999999
2716,"Park College of Engineering and Technology, Kaniyur, Coimbatore District 641659",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2717,"Sasurie College of Engineering, Vijayamangalam, Tiruppur District 638056",Tiruppur,EC,Electronics and Communication Engineering,999999999999,999999999999
2717,"Sasurie College of Engineering, Vijayamangalam, Tiruppur District 638056",Tiruppur,RM,Robotics and Automation,999999999999,999999999999
