College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Thiruvannamalai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,154.5,112.5,58030,120543
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Thiruvannamalai,CS,COMPUTER SCIENCE AND ENGINEERING,169.5,130.5,35499,94402
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Thiruvannamalai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,130.5,106.5,94337,129003
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Thiruvannamalai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,98.5,90,138533,146936
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Thiruvannamalai,IT,INFORMATION TECHNOLOGY,158.045,130,52506,95089
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Thiruvannamalai,SC,Computer Science and Engineering (Cyber Security),144,127,73319,99476
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",Ranipet,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145,108,72261,126943
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",Ranipet,CS,COMPUTER SCIENCE AND ENGINEERING,149,130,66416,94931
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",Ranipet,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,127,103.5,99673,132563
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",Ranipet,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,102,96,134480,141200
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",Ranipet,IT,INFORMATION TECHNOLOGY,147,125.5,69448,101945
1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District 632102",Vellore,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,117,96,113952,141218
1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District 632102",Vellore,CS,COMPUTER SCIENCE AND ENGINEERING,131.5,94.5,92917,142808
1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District 632102",Vellore,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,96,81,141142,155040
1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District 632102",Vellore,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,81.5,,154523,
1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District 632102",Vellore,IT,INFORMATION TECHNOLOGY,135,120,87483,109999
1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,152.5,132,60920,92062
1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,132,97,91740,140116
1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,88,,149062,
1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078",Chennai,IT,INFORMATION TECHNOLOGY,146.5,128.5,69715,96976
