College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1408,"I F E T College of Engineering  (Autonomous), Gangarampalayam, Villupuram District 605108",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,163.5,148.5,44539,66824
1408,"I F E T College of Engineering  (Autonomous), Gangarampalayam, Villupuram District 605108",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,153.5,141.5,59643,77208
1408,"I F E T College of Engineering  (Autonomous), Gangarampalayam, Villupuram District 605108",Villupuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,125,109,102453,125257
1408,"I F E T College of Engineering  (Autonomous), Gangarampalayam, Villupuram District 605108",Villupuram,IT,INFORMATION TECHNOLOGY,159.5,143.5,50279,74211
1409,"Karpaga Vinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308",Chengalpattu,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148,109.5,67864,124870
1409,"Karpaga Vinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308",Chengalpattu,CS,COMPUTER SCIENCE AND ENGINEERING,149,115,65885,116828
1409,"Karpaga Vinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308",Chengalpattu,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,135.5,121.5,86226,108120
1409,"Karpaga Vinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308",Chengalpattu,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,111.5,89.5,121882,147731
1409,"Karpaga Vinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308",Chengalpattu,RM,ROBOTICS AND AUTOMATION,103,88,133280,149240
1411,"Madha Engineering College, Kundrathur, Chennai 600069",Chennai,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,112,79.5,121248,156222
